Iteration|Model|Obs_Py1|Obs_Py2|Obs_P11|Obs_P10|Obs_P01|rho_latent|rho_Y1Y2|CalInt_PY1|CalInt_PY2|CalSlope_PY1|CalSlope_PY2|AUC_PY1|AUC_PY2|MSE_PY1|MSE_PY2|CalInt_P11|CalInt_P10|CalInt_P01|CalSlope_P11|CalSlope_P10|CalSlope_P01|AUC_P11|AUC_P10|AUC_P01|MSE_P11|MSE_P10|MSE_P01
1|"Univariate"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0790133470126208|-0.0606287012405057|1.03426763520513|0.969208730687878|0.686227446293788|0.761126488239729|0.000114491156771543|9.06646821725011e-05|0.632668380082549|-0.783285040083984|-1.13046204377015|0.727477695614701|1.4981478016879|1.68793570099076|0.689030282735267|0.797457654924434|0.899841429223136|0.0102376663726158|0.0123853379573041|0.0109733912802414
1|"SR"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0784367888236305|-0.060732769937992|1.06770962513947|0.987516347403481|0.686227594395743|0.761126488239729|0.000112757053844487|6.92383684710946e-05|0.632452266908509|-0.782286127168793|-1.12981020299395|0.744407102444072|1.54488010039453|1.72111319041576|0.688982335192174|0.797899207820664|0.899633325284833|0.0103005615312448|0.0124221104500379|0.0109706131420464
1|"PCC"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0759797884104377|-0.0602788502715842|0.966321761018602|0.968078916462196|0.680550451523367|0.760339594082989|0.000938085716300145|0.00032412021241828|-0.0962902642075703|-0.0410740965584876|0.0389346139949346|0.907940895610993|0.956148145584733|1.12180725562639|0.701846653357081|0.805229417382999|0.909848284912158|0.000332478308831911|0.000903925072754627|0.00047918923996787
1|"MLR"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0773541312611812|-0.0590119035005542|0.912079977363494|0.952468692635084|0.676710118463792|0.760180017026255|0.00188521926871786|0.000534145666036587|-0.0960997914400552|-0.0416883987804869|0.0511423311752881|0.952401679074494|0.962673580877133|1.00835629097345|0.69937548133942|0.80508738693185|0.909127152867572|0.000398385665383805|0.00140685560071545|0.000711826877377714
1|"MLM"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0267363347152125|-0.27278580408128|1.54721924811809|1.51514120610208|0.657133212179352|0.757701429739897|0.00660789266249673|0.00390853749049703|-0.0547379786773556|-0.213706856063714|-0.760699465435861|1.37607482843134|2.6642446713799|2.65689901199802|0.685901457016481|0.799655441316928|0.89318261367316|0.00201901928538985|0.00928285383813706|0.0073194136223642
1|"MPM"|0.2822|0.2174|0.1547|0.1275|0.0627|0.95|0.507048951295155|-0.0801580901165311|-0.0703696954212362|1.03725252447482|0.978905597678605|0.686237813430636|0.761065419892788|0.000139331557168565|0.000132313832751573|-0.100133544445036|-0.0528106148740039|0.00233598134213836|0.943036669914044|0.999029135969351|1.04392109052447|0.702436094604555|0.808564705882353|0.910100289763039|0.000148073088211025|9.53286167765067e-05|4.83115863116885e-05
2|"Univariate"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.010126275787777|-0.0741628100497138|0.976855634697074|0.90887515923|0.680936188766599|0.757365288835119|0.000104456182931463|0.000264052819404385|0.662302632611915|-0.741957063802586|-1.13616892202337|0.685986153995455|1.37324795955603|1.61091201949806|0.690294234883418|0.794190667618674|0.888373163684013|0.010244371344176|0.0110936045478062|0.0124632949798671
2|"SR"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.0101801104407135|-0.0734176327609133|1.00325755231024|0.939781115414766|0.680936188766599|0.757365288835119|9.75612501114176e-05|0.000155865655250717|0.662363239135184|-0.741568344983031|-1.13479221302051|0.707812582068839|1.41119445568076|1.66510238105562|0.690123753586748|0.794311135363572|0.888543972393919|0.0103303303662919|0.0111671284002264|0.0123662359604274
2|"PCC"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.00939686457505|-0.0694292552277854|0.92229251720263|0.901742577635074|0.677182480151587|0.757267859814699|0.000837737327829988|0.000429086358745539|-0.0463243652436118|0.0162423806432229|-0.131457043005613|0.845225372627419|0.981255135481082|1.08288151655177|0.699194853240687|0.815775021994073|0.897233355694537|0.000342054733286919|0.000608608973181915|0.000359359361062325
2|"MLR"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.0105226674634517|-0.0733299364983328|0.8862788803095|0.887816018800616|0.674637980814062|0.756838841276888|0.00155683865505169|0.000855209873641869|-0.0503142600729226|0.0170794153570104|-0.140514415111618|0.90389883558273|0.998733815140766|0.954540046660922|0.697552934849581|0.814754163288252|0.896919798540344|0.000355883257935148|0.00108045285568536|0.000785354955707139
2|"MLM"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.0740355353965377|-0.185826375780367|1.11064111706643|1.61921168324883|0.662539223839254|0.756111546188857|0.00398092397271613|0.00402429568729059|0.00226747470860527|-0.352004884089214|-0.698112950161264|1.24048296369413|1.57787955314595|2.9447468537112|0.686487633187588|0.764467956129938|0.893898099471684|0.00208812417967393|0.00855716008010363|0.0067753482746271
2|"MPM"|0.2857|0.2267|0.1611|0.1246|0.0656|0.95|0.507798857953978|-0.00991747262918258|-0.06378720315444|0.968069043088561|0.910755096613522|0.680897477605226|0.757330435713646|0.000125542366435728|0.00018730004884219|-0.0421447419597925|0.0117140474323199|-0.124268463214558|0.873035112139509|0.962599516362137|1.01118771737557|0.699378357414186|0.816260376820172|0.898098166555296|0.000121568372708385|1.23804581848101e-05|5.74145510511931e-05
3|"Univariate"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.0332199846378099|-0.0536099716393128|1.1165099275815|1.03990894275667|0.684910896037061|0.767633220202147|0.000161095904812247|3.55194590190129e-05|0.726312383208407|-0.667628330568788|-1.08299119944417|0.82772371649509|1.51718544527484|1.81147746373024|0.697862941483938|0.790832416587901|0.898501910347521|0.0115225237912233|0.0100310484017969|0.0127184660314906
3|"SR"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.0332181531248913|-0.0529605307278898|1.15925162537016|1.06721443331351|0.684910896037061|0.767632876657424|0.000260123853736937|4.830452354795e-05|0.725553090885144|-0.666716533272554|-1.08113825252979|0.852200866759721|1.57335009730382|1.8603511136699|0.697709362541238|0.791391045271103|0.898335937633498|0.0116168219081274|0.0101449661521546|0.0126598121678608
3|"PCC"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.0329983911743768|-0.0466667019383751|1.06098553504587|1.02341823205813|0.681520380709136|0.767273013559997|0.000844950720269231|0.000237146790437047|-0.0275368928004425|0.10703467783287|-0.0583181424517139|1.01882612775231|0.964402312715975|1.17958297110987|0.70731677938031|0.806273258408849|0.907034078675813|7.13720931654392e-05|0.00103566689193173|0.000244213071157285
3|"MLR"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.0328597360882647|-0.0561898600712136|1.01281780819141|1.01372426133329|0.678588677894904|0.767294771392458|0.00148416920522133|0.000608446867655603|-0.0320456600769565|0.109110224821061|-0.0780727255821429|1.0815214367231|1.01102226392848|1.04666692330799|0.705745456001854|0.805479542721892|0.906769851380849|0.000280020634945322|0.00155481020839005|0.000647128244581674
3|"MLM"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.243645984064431|0.0388772965562594|1.16127864798787|1.68005900460155|0.67055020079382|0.759672487363996|0.00468092625863642|0.0058683925997022|0.362899854184331|0.0095635689563156|-0.45385857789611|1.34540557169898|1.61065221650098|2.77366548670803|0.689901981251173|0.751063106382106|0.892642076756922|0.0049886190602401|0.00786598986329316|0.00657270204916343
3|"MPM"|0.2884|0.2255|0.1577|0.1307|0.0678|0.95|0.496961250015068|0.0264246997245438|-0.0319546012778768|1.11624295263964|1.00436100953164|0.684917766530309|0.767574187767231|0.000166543658879299|4.67431335866179e-05|-0.0178487409086346|0.0799697899370168|-0.0412511192121536|1.02436970543718|0.958386358471411|1.07853826303834|0.708149342874099|0.808303931321854|0.907061608944869|4.41460434064277e-05|0.000202635487473047|3.18966287785274e-05
4|"Univariate"|0.2785|0.2241|0.1569|0.1216|0.0672|0.95|0.496733161919846|0.000214397196522208|0.0380715653580491|0.94977814088353|0.972266844940659|0.681971406567457|0.766383257248898|0.000135592483338115|9.57780457295798e-05|0.818701825434145|-0.740283576167819|-1.00806284336545|0.738075047894521|1.36511565352954|1.63769645243735|0.696899337848371|0.789702775231282|0.891927242863269|0.0122239483661521|0.0103111097681124|0.0107034668162641
4|"SR"|0.2785|0.2241|0.1569|0.1216|0.0672|0.95|0.496733161919846|0.000396741415163802|0.0379120403840113|0.975904437086964|0.996574337274186|0.681971307034144|0.766383142226508|0.000106953544844788|8.34748658945354e-05|0.817428813924825|-0.73920822937476|-1.00704900783762|0.757160771656557|1.40232394391904|1.67892335612338|0.696833267073569|0.78995808018167|0.891916554357592|0.0123018620556205|0.0103326763281875|0.0106359097831906
